"","knapper","assessment","width_0.1","width_0.2","width_0.3","width_0.4","width_0.5","width_0.6","width_0.7","width_0.8","width_0.9","thickness_0.1","thickness_0.2","thickness_0.3","thickness_0.4","thickness_0.5","thickness_0.6","thickness_0.7","thickness_0.8","thickness_0.9","max_length"
"32",14,6,0.787171136438876,1.06361085568594,1.34005057493301,1.52549020945956,1.64517193523228,1.87608246410989,1.99745477441618,1.91315873181152,1.57434227287775,0.374792905689865,0.480850347036642,0.558195851762597,0.685781507777904,0.668223848693229,0.63315443290057,0.730421569110837,0.755162950147804,0.51672305442141,3.78224567371356
"33",14,7,0.746162902537085,1.19540309967182,1.39696052057182,1.57063509001545,1.69499557377163,1.74749838981181,1.69499557377163,1.46236657106254,1.12999704918109,0.275050619419516,0.477842425224415,0.703523487544004,0.892184680908712,0.93802158489859,0.923920167938646,0.893060545316162,0.782876802858965,0.507796987959201,2.4264013288624
"34",14,8,1.06372931549465,1.48185734254938,1.70770455049602,1.85799834688736,1.95120605291831,1.9948772024107,1.9704864008325,1.75892523381023,1.34921784063368,0.298574688610439,0.41366964093948,0.56125365311349,0.688534860824211,0.746768242544924,0.750152043288805,0.742035494207198,0.603231073152449,0.36830842015664,2.49192689457201
"35",14,9,0.839837393052891,1.14053323243326,1.5047889148802,1.76873560863299,1.80887461255746,1.91580923337733,1.86673333030654,1.70640844131075,1.44577456362082,0.37771926781577,0.584095393907354,0.654100699465757,0.639359547602072,0.631079024024324,0.665171729157619,0.770210019083421,0.670692078209451,0.475386981809729,2.58399652903348
"36",15,1,0.914595814536129,0.971419276701733,1.07502569171302,1.18179704987951,1.20860812005624,1.31483379836838,1.25277180960108,1.20438819584932,0.929329170603395,0.622762504633865,0.961169948161967,1.08952645353267,1.05758771140182,0.980204292687481,0.90958100235241,0.838327530558254,0.762175830150309,0.563181712138651,1.79674186706732
"37",15,2,0.491721140601095,0.919358323028614,1.19461124722223,1.43517256713535,1.63469550614116,1.66501214789251,1.5081913079389,1.30595712454882,0.840054424788813,0.392470576670244,0.526722781596263,0.733583741372946,0.861213096290869,0.990322282162982,1.04388731079989,1.11064952040531,0.986659094063265,0.705709548481729,2.74390255525899
"38",15,3,0.669142339318949,1.0604354086538,1.32661329883773,1.50696630135322,1.57317119711622,1.66337285220974,1.64083501535425,1.50263984159971,1.09972570013625,0.721043615301743,0.832928669081157,0.840118308755776,0.845505586969266,0.718647068743537,0.657010268006851,0.637263516614025,0.651028804696286,0.52716101812584,2.2552929156957
"39",15,4,0.914413644161295,1.32817822334657,1.63470425888104,1.70323971340688,1.91929651863197,1.915772532495,1.79370894371626,1.63470425888104,1.35096261647351,0.329650101503827,0.410597488739075,0.506016852711122,0.652052254327903,0.824830912129379,0.805311684001731,0.68819631523584,0.654946649675263,0.529148094867293,2.86961836636133
"40",15,5,0.5574817012571,0.915414332015351,1.33583561500758,1.61759724408536,1.64839733807747,1.65870352337482,1.57477326724634,1.32043556801153,0.972749891600654,0.36462013148134,0.673413926638407,0.858988690409736,0.99671230876026,0.969148929672837,0.879276456743118,0.799547866980091,0.70892917735765,0.578457852489519,2.79155467278444
"41",16,1,1.12179296535389,1.34564386407866,1.47531746162004,1.63312578750237,1.71875690052807,1.71202995044354,1.52790613429343,1.2196510505458,0.899761304702287,0.355436012117441,0.662251296020307,0.701361083566666,0.788092201008698,0.847739624008489,0.862780568707962,0.855768123837001,0.737456019517671,0.470250222320614,1.97323869146164
"42",16,2,0.636669248085129,0.943411490155604,1.12328878794725,1.31345595288266,1.61192722579327,1.65712449033614,1.65901313683721,1.40665088884929,0.829506568418606,0.353422527433624,0.511878071509349,0.707614256537519,0.824891871198096,0.939067039121916,1.02606374802951,1.07421577258844,1.03926837670249,0.87304389575703,2.20059880245464
"43",16,3,0.994864434784937,1.3243439070214,1.56748106366115,1.79391057330451,1.85127738921519,1.83784116960271,1.71784988662865,1.49153721367757,1.11824398183519,0.24236713843943,0.421716060962743,0.574431737489391,0.717349691395504,0.815418914996351,0.865879486426994,0.87287128848484,0.72434149345335,0.599639023855838,2.45590727177679
"44",16,4,0.629389429562004,1.03521745541081,1.30576947264334,1.70132465874008,1.82480215833418,1.98957443950588,2.04104034955086,1.70569824398106,1.28664775112465,0.252636415357301,0.436918042156207,0.585800938383572,0.700526462238171,0.793267932830581,0.876278756897102,0.934862855116746,0.849409358465536,0.600456973891699,2.8296079396275
"45",16,5,0.542699646416801,0.997872749988745,1.37823609299289,1.66353052573269,1.89173099114583,2.02109136258487,1.8321813693105,1.61783781148202,1.26413586028632,0.296770957565341,0.530389607813985,0.697713873126568,0.843975859891755,0.955536879541972,1.01551258091382,0.97445840190914,0.874498899622734,0.313586252077769,2.33901091951132
"46",16,6,0.626487573141427,1.00420611746483,1.32262670940254,1.62608162764292,1.9431844873054,2.25068672610544,2.32560921832608,1.9758454229845,1.60848048939511,0.224637037471569,0.400989340560845,0.487479417343861,0.606542235126136,0.764885036365992,0.913148445624281,0.992894223360806,0.845779568335711,0.498707563558623,2.93477802442153
"47",16,7,0.891752376488047,1.4017158983993,1.67032623877349,1.62533777937795,1.66353552792133,1.67306138620005,1.70720357131784,1.45623021607355,1.03897876037994,0.351677725726016,0.558169102852231,0.696597416811326,0.77825081337679,0.812300910989582,0.848616064168766,0.819096077688755,0.584272939953423,0.378932656639637,3.081285049166
